date,platform,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,spend,conversions,conversion_value,video_views,reach,frequency,engagement_rate,likes,shares,comments,video_watch_25,video_watch_50,video_watch_75,video_watch_100,ctr,avg_cpc,quality_score,search_impression_share
2024-01-01,facebook,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,45623,892,127.5,12,,8234.0,38234.0,1.19,0.0195,,,,,,,,0.0195515419854021,0.1429372197309417,,
2024-01-01,facebook,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12456,567,215.8,34,,1234.0,9876.0,1.26,0.0455,,,,,,,,0.04552023121387283,0.38059964726631396,,
2024-01-01,facebook,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34567,1234,189.9,23,,4567.0,28934.0,1.19,0.0357,,,,,,,,0.03569878786125495,0.15388978930307942,,
2024-01-01,google,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23456,1234,234.5,45,2250.0,,,,,,,,,,,,0.0526,0.19,9.0,0.92
2024-01-01,google,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45678,890,567.8,23,1150.0,,,,,,,,,,,,0.0195,0.64,7.0,0.45
2024-01-01,google,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67890,2345,423.6,67,3350.0,,,,,,,,,,,,0.0345,0.18,8.0,0.67
2024-01-01,tiktok,tt_8001,Awareness_GenZ,ttad_9001,Dance_Challenge,234567,3456,456.7,34,,198234.0,,,,8923.0,2345.0,567.0,156234.0,98234.0,67234.0,45234.0,0.014733530291984806,0.13214699074074074,,
2024-01-01,tiktok,tt_8002,Conversion_Focus,ttad_9002,Product_Demo,123456,2345,678.9,67,,89234.0,,,,4567.0,1234.0,234.0,67234.0,45234.0,34234.0,23456.0,0.018994621565578018,0.2895095948827292,,
2024-01-01,tiktok,tt_8003,Traffic_Campaign,ttad_9003,Trending_Sounds,189234,2890,345.6,23,,145678.0,,,,6789.0,1890.0,456.0,112345.0,89234.0,56789.0,34567.0,0.015272096980458057,0.1195847750865052,,
2024-01-02,facebook,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,42345,823,118.2,10,,7890.0,36789.0,1.15,0.0194,,,,,,,,0.01943558861731019,0.14362089914945322,,
